USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root               396   0.0  0.1 435346128  10544   ??  Ss   11:17PM   0:18.79 /usr/libexec/PerfPowerServices
root               344   0.0  0.1 435348704   4224   ??  Ss   11:17PM   0:00.96 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
root               347   0.0  0.1 435354048   6304   ??  Ss   11:17PM   0:01.44 /usr/sbin/systemstats --daemon
root               382   0.0  0.1 435341376   5008   ??  Ss   11:17PM   0:04.59 /System/Library/CoreServices/launchservicesd
root               388   0.0  0.0 435341744   2752   ??  Ss   11:17PM   0:00.95 /usr/libexec/nesessionmanager
root               402   0.0  0.0 435305280   2208   ??  Ss   11:17PM   0:00.31 /usr/libexec/usermanagerd -t 15
root               378   0.0  0.1 435351328   6096   ??  Ss   11:17PM   0:23.89 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
root               340   0.0  0.0 435340528   2048   ??  Ss   11:17PM   0:00.11 /usr/libexec/smd
root               399   0.0  0.0 435340768   2144   ??  Ss   11:17PM   0:00.24 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
root               351   0.0  0.0 435346144   4048   ??  Ss   11:17PM   0:04.18 /usr/libexec/configd
root               377   0.0  0.0 435339872   2896   ??  Ss   11:17PM   0:00.62 /usr/libexec/thermalmonitord
root               407   0.0  0.1 435340576   4656   ??  Ss   11:17PM   0:05.07 /usr/libexec/corebrightnessd --launchd
root               358   0.0  0.0 435340528   1760   ??  Ss   11:17PM   0:00.09 /usr/libexec/remoted
root               385   0.0  0.0 435341840   3280   ??  Ss   11:17PM   0:01.66 /usr/sbin/securityd -i
root               364   0.0  0.0 435305808   1952   ??  Ss   11:17PM   0:00.24 /usr/libexec/watchdogd
root               368   0.0  0.2 435393408  14816   ??  Ss   11:17PM   1:46.00 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
root               381   0.0  0.1 435450704  11088   ??  Ss   11:17PM   0:07.05 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
root               390   0.0  0.0 435300800   1504   ??  Ss   11:17PM   0:00.02 autofsd
root               356   0.0  0.0 435395040   2464   ??  Ss   11:17PM   0:01.11 /usr/libexec/amfid
root               400   0.0  0.0 435301152    896   ??  Ss   11:17PM   0:00.01 /usr/sbin/KernelEventAgent
root               391   0.0  0.1 435348624   9888   ??  Ss   11:17PM   0:27.47 /usr/libexec/dasd
root               408   0.0  0.0 435306448   2400   ??  Ss   11:17PM   0:00.41 /usr/libexec/AirPlayXPCHelper
root               371   0.0  0.0 435340384   3520   ??  Ss   11:17PM   0:01.05 /usr/libexec/diskarbitrationd
root               370   0.0  0.0 435344176   2240   ??  Ss   11:17PM   0:01.14 /usr/libexec/kernelmanagerd
root               379   0.0  0.1 435392720   8160   ??  Ss   11:17PM   0:00.21 /usr/libexec/xprotectd
root               406   0.0  0.0 435344784   2160   ??  Ss   11:17PM   0:00.68 /usr/libexec/sandboxd
root               398   0.0  0.0 435304656   2016   ??  Ss   11:17PM   0:00.12 /System/Library/CoreServices/logind
root               392   0.0  0.0 435340224   2192   ??  Ss   11:17PM   0:00.14 /usr/libexec/corerepaird
abhinavsuri        768   0.0  0.0 435344192   3792   ??  S    11:17PM   0:01.97 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
abhinavsuri       3298   0.0  0.0 435299552   2032   ??  S    12:02AM   0:00.01 bash ./system-info.sh
abhinavsuri       3295   0.0  0.0 435308704   2336   ??  S    12:02AM   0:00.00 zsh -c chmod +x system-info.sh && printf "system-info-output\nprocesses.txt\n" | ./system-info.sh
abhinavsuri       3294   0.0  0.1 435341552   9856   ??  Ss   12:02AM   0:00.16 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
abhinavsuri       3293   0.0  0.2 435360544  14096   ??  S    12:02AM   0:00.08 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
abhinavsuri       3290   0.0  0.9 435438112  74624   ??  S    12:02AM   0:04.50 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
abhinavsuri       3271   0.0  0.2 435360576  12768   ??  S    12:01AM   0:00.09 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
abhinavsuri       3270   0.0  0.2 435361184  16768   ??  S    12:01AM   0:00.13 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
abhinavsuri       3258   0.0  0.0 435305712   3824   ??  S    12:01AM   0:00.10 /usr/sbin/BTLEServerAgent
abhinavsuri       3243   0.0  0.1 435352112   8128   ??  Ss   12:00AM   0:00.04 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
abhinavsuri       3242   0.0  0.1 435340352   6176   ??  Ss   12:00AM   0:00.02 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
abhinavsuri       3231   0.0  0.8 1949147760  66192   ??  S    12:00AM   0:00.10 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=186 --launch-time-ticks=2437566540 --shared-files --metrics-shmem-handle=1752395122,r,7755318956905582943,10834079954384930315,2097152 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709160601655408 --seatbelt-client=297
abhinavsuri       3229   0.0  1.1 1949288384  95360   ??  S    12:00AM   0:05.40 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=184 --launch-time-ticks=2434404052 --shared-files --metrics-shmem-handle=1752395122,r,3063203257919794405,56995672168332826,2097152 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709158727571710 --seatbelt-client=289
abhinavsuri       3221   0.0  0.1 435352320   6688   ??  S    12:00AM   0:00.05 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
root              3217   0.0  0.0 435301360    432   ??  Ss   12:00AM   0:00.01 aslmanager
abhinavsuri       3187   0.0  0.1 435345760   6224   ??  S    11:58PM   0:00.23 /usr/libexec/keyboardservicesd
abhinavsuri       3176   0.0  0.5 1890430496  45168   ??  S    11:58PM   0:00.23 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/markdown-language-features/dist/serverWorkerMain --node-ipc --clientProcessId=2856
abhinavsuri       3162   0.0  0.2 435420592  13488   ??  S    11:57PM   0:00.45 /System/Library/Frameworks/PaperKit.framework/Contents/LinkedNotesUIService.app/Contents/MacOS/LinkedNotesUIService
abhinavsuri       3146   0.0  0.0 435394576   2928   ??  Ss   11:56PM   0:00.12 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
abhinavsuri       3101   0.0  0.0 435366448   1936   ??  Ss   11:55PM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
abhinavsuri       3091   0.0  0.1 435346656   8320   ??  S    11:54PM   0:00.41 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
abhinavsuri       3090   0.0  0.1 435448512   4592   ??  S    11:54PM   0:00.14 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
root              3087   0.0  0.1 435370384   6960   ??  Ss   11:54PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root              3086   0.0  0.0 435304928   3152   ??  Ss   11:54PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
abhinavsuri       3085   0.0  0.1 435370544   6960   ??  Ss   11:54PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root              3084   0.0  0.1 435365376   5984   ??  Ss   11:54PM   0:00.10 /usr/sbin/systemsoundserverd
abhinavsuri       3048   0.0  0.1 435352768   7424   ??  Ss   11:53PM   0:00.03 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
abhinavsuri       3046   0.0  0.0 435367296   1952   ??  Ss   11:53PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
abhinavsuri       3044   0.0  0.1 435370304   6912   ??  Ss   11:53PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
abhinavsuri       3043   0.0  0.1 435370192   6896   ??  Ss   11:53PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
abhinavsuri       3040   0.0  0.1 439914752   6992   ??  Ss   11:53PM   0:00.22 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
abhinavsuri       3039   0.0  0.2 439850928  12688   ??  Ss   11:53PM   0:00.35 /System/Library/ExtensionKit/Extensions/WebThumbnailExtension.appex/Contents/MacOS/WebThumbnailExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucXVpY2tsb29rLnRodW1ibmFpbC5XZWJFeHRlbnNpb24ifQ==
abhinavsuri       3038   0.0  0.1 435353904   7696   ??  Ss   11:53PM   0:00.13 /System/Library/ExtensionKit/Extensions/ImageThumbnailExtension.appex/Contents/MacOS/ImageThumbnailExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucXVpY2tsb29rLnRodW1ibmFpbC5JbWFnZUV4dGVuc2lvbiJ9
abhinavsuri       3036   0.0  0.1 435377008  11968   ??  Ss   11:53PM   0:00.24 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5xdWlja2xvb2sudGh1bWJuYWlsLlRleHRFeHRlbnNpb24iLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
abhinavsuri       3035   0.0  0.1 435352336   6560   ??  Ss   11:53PM   0:00.06 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
abhinavsuri       2961   0.0  0.1 436301776   5664   ??  S    11:52PM   0:00.64 chrome-devtools-mcp    
abhinavsuri       2946   0.0  0.1 436283424   5792   ??  S    11:52PM   0:00.93 npm exec chrome-devtools-mcp@latest --autoConnect --no-usage-statistics --no-performance-crux      
abhinavsuri       2868   0.0  0.0 435308864    576 s002  Ss+  11:52PM   0:00.02 /bin/zsh -il
abhinavsuri       2856   0.0  1.0 1909001712  86960   ??  S    11:52PM   0:07.78 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --user-data-dir=/Users/abhinavsuri/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8980756497384775943,5097072793149543955,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709000367499229
abhinavsuri       2855   0.0  0.4 1892233824  32128   ??  S    11:52PM   0:00.68 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/abhinavsuri/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8980756497384775943,5097072793149543955,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708999430457380
abhinavsuri       2843   0.0  0.0 435353472   3888   ??  S    11:52PM   0:00.10 /System/Library/CoreServices/ScopedBookmarkAgent
abhinavsuri       2838   0.0  0.1 435315264   6736   ??  Ss   11:51PM   0:00.09 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
abhinavsuri       2837   0.0  0.3 435644176  22096   ??  Ss   11:51PM   0:08.13 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
abhinavsuri       2819   0.0  0.0 435340144   3296   ??  S    11:48PM   0:00.12 /System/Library/PrivateFrameworks/LockdownMode.framework/Versions/A/XPCServices/lockdownmoded
root              2816   0.0  0.0 435340496   3360   ??  Ss   11:47PM   0:00.13 /usr/libexec/countryd
abhinavsuri       2810   0.0  0.8 1949397120  63616   ??  S    11:46PM   0:12.31 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=168 --launch-time-ticks=1615735941 --shared-files --metrics-shmem-handle=1752395122,r,5983442258154426077,11381915319982430730,2097152 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709143734902126 --seatbelt-client=269
root              2790   0.0  0.0 435301584   1552   ??  Ss   11:46PM   0:00.03 /usr/libexec/seputil --daemonize-reseed
abhinavsuri       2772   0.0  0.1 435344336   5472   ??  S    11:42PM   0:00.22 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
root              2771   0.0  0.0 435340352   3456   ??  Ss   11:42PM   0:00.19 /usr/libexec/findmybeaconingd
abhinavsuri       2762   0.0  0.1 435352848   7968   ??  Ss   11:42PM   0:00.08 /Applications/Microsoft Word.app/Contents/PlugIns/WordWidget_mac.appex/Contents/MacOS/WordWidget_mac -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20ubWljcm9zb2Z0LldvcmQud2lkZ2V0ZXh0ZW5zaW9uIn0=
root              2741   0.0  0.0 435300752   1712   ??  Ss   11:41PM   0:00.56 /usr/libexec/sysmond
abhinavsuri       2734   0.0  0.1 435353808   6944   ??  Ss   11:41PM   0:00.08 /Applications/Microsoft Excel.app/Contents/PlugIns/ExcelWidget_mac.appex/Contents/MacOS/ExcelWidget_mac -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20ubWljcm9zb2Z0LkV4Y2VsLndpZGdldGV4dGVuc2lvbiJ9
_applepay         2733   0.0  0.0 435344576   2848   ??  Ss   11:41PM   0:00.05 /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/Versions/A/XPCServices/NFStorageServer.xpc/Contents/MacOS/NFStorageServer
_applepay         2731   0.0  0.0 435341984   3024   ??  Ss   11:41PM   0:00.29 /usr/libexec/nfcd
root              2727   0.0  0.0 435305504   2400   ??  Ss   11:41PM   0:00.06 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedTaskService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedTaskService
abhinavsuri       2726   0.0  0.0 435300576   2784   ??  S    11:41PM   0:00.08 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
root              2723   0.0  0.0 435341504   3616   ??  Ss   11:40PM   0:01.47 /usr/libexec/assetsubscriptiond
root              2722   0.0  0.0 435340544   2544   ??  Ss   11:40PM   0:00.10 /usr/libexec/trustdFileHelper
abhinavsuri       2720   0.0  0.0 435339856   3424   ??  Ss   11:40PM   0:00.26 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
_spotlight        2706   0.0  0.0 435342784   3616   ??  S    11:40PM   0:00.48 /usr/libexec/trustd --agent
abhinavsuri       2718   0.0  0.0 435310336   2176   ??  Ss   11:40PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AUCrashHandlerService.xpc/Contents/MacOS/AUCrashHandlerService
abhinavsuri       2717   0.0  0.0 435345584   3984   ??  S    11:40PM   0:00.23 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
abhinavsuri       2715   0.0  0.0 435369904   3920   ??  Ss   11:40PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
abhinavsuri       2716   0.0  0.0 435370496   3920   ??  Ss   11:40PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
abhinavsuri       2714   0.0  0.0 435370720   3920   ??  Ss   11:40PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
abhinavsuri       2713   0.0  0.1 435424576   6048   ??  Ss   11:40PM   0:00.07 /System/iOSSupport/System/Library/ExtensionKit/Extensions/KonaSynthesizer.appex/Contents/MacOS/KonaSynthesizer -AppleLanguages ("en-IN")
abhinavsuri       2712   0.0  0.0 435370352   3920   ??  Ss   11:40PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
abhinavsuri       2711   0.0  0.1 435424000   6224   ??  Ss   11:40PM   0:00.05 /System/Library/PrivateFrameworks/MacinTalk.framework/PlugIns/WardaSynthesizer.appex/Contents/MacOS/WardaSynthesizer -AppleLanguages ("en-IN")
abhinavsuri       2710   0.0  0.0 435423824   3904   ??  Ss   11:40PM   0:00.04 /System/iOSSupport/System/Library/ExtensionKit/Extensions/MauiAUSP.appex/Contents/MacOS/MauiAUSP -AppleLanguages ("en-IN")
abhinavsuri       2708   0.0  0.1 435420688   6016   ??  Ss   11:40PM   0:00.09 /System/iOSSupport/System/Library/ExtensionKit/Extensions/SiriAUSP.appex/Contents/MacOS/SiriAUSP -AppleLanguages ("en-IN")
